Date,Open,High,Low,Close,Volume,Adj Close
2014-1-2,2109.39,2109.39,1991.25,2054.39,0,2054.39
2013-12-2,2207.37,2251.76,2073.1,2115.98,0,2115.98
2013-11-1,2149.56,2220.5,2087.94,2220.5,0,2220.5
2013-10-8,2198.2,2237.77,2128.86,2141.61,0,2141.61
2013-9-2,2098.45,2255.6,2098.45,2174.67,0,2174.67
2013-8-1,2029.07,2106.16,2029.07,2098.38,0,2098.38
2013-7-1,1995.24,2044.92,1976.31,1993.8,0,1993.8
2013-6-3,2299.25,2299.25,1950.01,1979.21,0,1979.21
2013-5-2,2174.12,2324.02,2174.12,2300.59,0,2300.59
2013-4-1,2234.4,2244.64,2177.91,2177.91,0,2177.91
2013-3-1,2359.51,2359.51,2236.3,2236.62,0,2236.62
2013-2-1,2419.02,2434.48,2293.34,2365.59,0,2365.59
2013-1-4,2276.99,2385.42,2243,2385.42,0,2385.42
2012-12-3,1959.77,2269.13,1959.77,2269.13,0,2269.13
2012-11-1,2104.43,2117.05,1963.49,1980.12,0,1980.12
2012-10-8,2074.42,2132.76,2058.94,2068.88,0,2068.88
2012-9-3,2059.15,2134.89,2004.17,2086.17,0,2086.17
2012-8-1,2123.36,2174.1,2047.52,2047.52,0,2047.52
2012-7-2,2226.11,2229.19,2103.63,2103.63,0,2103.63
2012-6-1,2373.44,2373.44,2195.84,2225.43,0,2225.43
2012-5-2,2438.44,2452.01,2333.55,2372.23,0,2372.23
2012-4-5,2302.24,2406.86,2285.78,2396.32,0,2396.32
2012-3-1,2426.11,2460.69,2252.16,2262.79,0,2262.79
2012-2-1,2268.08,2451.86,2268.08,2428.49,0,2428.49
2012-1-4,2169.39,2319.12,2148.45,2292.61,0,2292.61
2011-12-1,2386.86,2386.86,2166.21,2199.42,0,2199.42
2011-11-1,2470.02,2529.76,2333.41,2333.41,0,2333.41
2011-10-10,2344.79,2473.41,2317.27,2468.25,0,2468.25
2011-9-1,2556.04,2556.04,2359.22,2359.22,0,2359.22
2011-8-1,2703.78,2703.78,2515.86,2567.34,0,2567.34
2011-7-1,2759.36,2820.17,2688.75,2701.73,0,2701.73
2011-6-1,2743.57,2762.08,2621.25,2762.08,0,2762.08
2011-5-3,2932.19,2932.19,2706.36,2743.47,0,2743.47
2011-4-1,2967.41,3057.33,2887.04,2911.51,0,2911.51
2011-3-1,2918.92,3002.15,2896.26,2928.11,0,2928.11
2011-2-1,2798.96,2932.25,2774.06,2905.05,0,2905.05
2011-1-3,2808.08,2852.65,2677.43,2790.69,0,2790.69
2010-12-1,2823.45,2927.08,2732.99,2808.08,0,2808.08
2010-11-1,3054.02,3159.51,2820.18,2820.18,0,2820.18
2010-10-1,2655.66,3051.42,2655.66,2978.83,0,2978.83
2010-9-1,2622.88,2698.36,2588.71,2655.66,0,2655.66
2010-8-2,2672.52,2687.98,2575.48,2638.8,0,2638.8
2010-7-1,2373.79,2648.12,2363.95,2637.5,0,2637.5
2010-6-1,2568.28,2588.7,2398.37,2398.37,0,2398.37
2010-5-3,2870.61,2870.61,2555.94,2592.15,0,2592.15
2010-4-1,3147.42,3166.18,2868.43,2870.61,0,2870.61
2010-3-1,3087.84,3128.47,2976.94,3109.1,0,3109.1
2010-2-1,2941.36,3060.62,2934.71,3051.94,0,3051.94
2010-1-4,3243.76,3282.18,2986.61,2989.29,0,2989.29
2009-12-1,3235.36,3331.9,3050.52,3277.14,0,3277.14
2009-11-2,3076.65,3338.66,3076.65,3195.3,0,3195.3
2009-10-1,2779.43,3109.57,2779.43,2995.85,0,2995.85
2009-9-1,2683.72,3060.26,2683.72,2779.43,0,2779.43
2009-8-3,3462.59,3471.44,2667.75,2667.75,0,2667.75
2009-7-1,3008.15,3438.37,3008.15,3412.06,0,3412.06
2009-6-1,2721.28,2975.31,2721.28,2959.36,0,2959.36
2009-5-1,2477.57,2676.68,2477.57,2632.93,0,2632.93
2009-4-1,2408.02,2557.46,2347.39,2477.57,0,2477.57
2009-3-2,2093.45,2374.44,2071.43,2373.21,0,2373.21
2009-2-2,2011.68,2389.39,2011.68,2082.85,0,2082.85
2009-1-5,1880.72,2004.95,1863.37,1990.66,0,1990.66
2008-12-1,1894.61,2090.77,1820.81,1820.81,0,1820.81
2008-11-3,1719.77,2030.48,1706.7,1871.16,0,1871.16
2008-10-1,2293.78,2293.78,1719.81,1728.79,0,1728.79
2008-9-1,2325.14,2325.14,1895.84,2293.78,0,2293.78
2008-8-1,2801.82,2801.82,2319.87,2397.37,0,2397.37
2008-7-1,2651.6,2920.55,2651.6,2775.72,0,2775.72
2008-6-2,3459.04,3459.04,2736.1,2736.1,0,2736.1
2008-5-5,3761.01,3761.01,3364.54,3433.35,0,3433.35
2008-4-1,3329.16,3693.11,3094.67,3693.11,0,3693.11
2008-3-3,4438.27,4438.27,3411.49,3472.71,0,3472.71
2008-2-1,4320.77,4672.17,4192.53,4348.54,0,4348.54
2008-1-2,5272.81,5497.9,4383.39,4383.39,0,4383.39
2007-12-3,4868.61,5308.89,4836.17,5261.56,0,5261.56
2007-11-1,5914.29,5914.29,4803.39,4871.78,0,4871.78
2007-10-8,5692.75,6092.06,5562.39,5954.77,0,5954.77
2007-9-3,5321.06,5552.3,5113.97,5552.3,0,5552.3
2007-8-1,4300.56,5218.83,4300.56,5218.83,0,5218.83
2007-7-2,3836.29,4471.03,3615.87,4471.03,0,4471.03
2007-6-1,4000.74,4269.52,3670.4,3820.7,0,3820.7
2007-5-8,3950.01,4334.92,3899.18,4109.65,0,4109.65
2007-4-2,3252.59,3841.27,3252.59,3841.27,0,3841.27
2007-3-1,2797.19,3197.54,2785.31,3183.98,0,3183.98
2007-2-1,2785.43,3040.6,2612.54,2881.07,0,2881.07
2007-1-4,2715.72,2975.13,2641.33,2786.33,0,2786.33
2006-12-1,2102.05,2675.47,2093.64,2675.47,0,2675.47
2006-11-1,1855.71,2099.29,1851.31,2099.29,0,2099.29
2006-10-2,1752.42,1837.99,1752.42,1837.99,0,1837.99
2006-9-1,1636.69,1752.42,1636.69,1752.42,0,1752.42
2006-8-1,1600.61,1658.64,1547.44,1658.64,0,1658.64
2006-7-3,1697.28,1745.81,1612.73,1612.73,0,1612.73
2006-6-1,1684.19,1684.62,1531.33,1672.21,0,1672.21
2006-5-1,1440.22,1664.09,1440.22,1641.3,0,1641.3
2006-4-3,1319.47,1440.22,1319.47,1440.22,0,1440.22
2006-3-1,1306.59,1306.59,1245.17,1298.3,0,1298.3
2006-2-1,1258.05,1299.17,1258.05,1299.03,0,1299.03
2006-1-2,1161.06,1258.05,1161.06,1258.05,0,1258.05
2005-12-1,1098.75,1169.86,1079.2,1161.06,0,1161.06
2005-11-1,1089.95,1119.94,1087.51,1099.26,0,1099.26
2005-10-3,1155.61,1161.85,1080.87,1092.82,0,1092.82
2005-9-1,1184.93,1220.63,1131.77,1155.61,0,1155.61
2005-8-1,1088.95,1192.83,1088.95,1162.8,0,1162.8
2005-7-1,1055.59,1089.91,1011.5,1083.03,0,1083.03
2005-6-1,1039.19,1131.05,1013.64,1080.94,0,1080.94
2005-5-2,1159.15,1159.15,1051.95,1060.74,0,1060.74
2005-4-1,1223.57,1248.52,1148.76,1159.15,0,1159.15
2005-3-1,1303.41,1318.27,1172.57,1181.24,0,1181.24
2005-2-1,1188.93,1312.44,1188.93,1306,0,1306
2005-1-3,1266.5,1266.5,1191.82,1191.82,0,1191.82
2004-12-1,1334.94,1339.64,1266.5,1266.5,0,1266.5
2004-11-1,1305.29,1383.02,1301.53,1340.77,0,1340.77
2004-10-1,1396.7,1422.93,1310.55,1320.54,0,1320.54
2004-9-1,1321.46,1464.78,1260.32,1396.7,0,1396.7
2004-8-2,1373.22,1404.51,1319.41,1342.06,0,1342.06
2004-7-1,1441.07,1457.54,1384.13,1386.2,0,1386.2
2004-6-1,1579.66,1579.66,1385.18,1399.16,0,1399.16
2004-5-3,1595.59,1603.77,1518.05,1555.91,0,1555.91
2004-4-1,1758.15,1777.52,1579.45,1595.59,0,1595.59
2004-3-1,1689.76,1755.69,1637.1,1741.62,0,1741.62
2004-2-2,1623.88,1721.75,1623.88,1675.07,0,1675.07
2004-1-1,1497.04,1628.84,1497.04,1590.73,0,1590.73
