Date,Open,High,Low,Close,Volume,Adj Close
2014-2-7,2044.5,2044.5,2044.5,2044.5,0,2044.5
2014-1-30,2033.08,2033.08,2033.08,2033.08,0,2033.08
2014-1-29,2049.91,2049.91,2049.91,2049.91,0,2049.91
2014-1-28,2038.51,2038.51,2038.51,2038.51,0,2038.51
2014-1-27,2033.3,2033.3,2033.3,2033.3,0,2033.3
2014-1-24,2054.39,2054.39,2054.39,2054.39,0,2054.39
2014-1-23,2042.18,2042.18,2042.18,2042.18,0,2042.18
2014-1-22,2051.75,2051.75,2051.75,2051.75,0,2051.75
2014-1-21,2008.31,2008.31,2008.31,2008.31,0,2008.31
2014-1-20,1991.25,1991.25,1991.25,1991.25,0,1991.25
2014-1-17,2004.95,2004.95,2004.95,2004.95,0,2004.95
2014-1-16,2023.7,2023.7,2023.7,2023.7,0,2023.7
2014-1-15,2023.35,2023.35,2023.35,2023.35,0,2023.35
2014-1-14,2026.84,2026.84,2026.84,2026.84,0,2026.84
2014-1-13,2009.56,2009.56,2009.56,2009.56,0,2009.56
2014-1-10,2013.3,2013.3,2013.3,2013.3,0,2013.3
2014-1-9,2027.62,2027.62,2027.62,2027.62,0,2027.62
2014-1-8,2044.34,2044.34,2044.34,2044.34,0,2044.34
2014-1-7,2047.32,2047.32,2047.32,2047.32,0,2047.32
2014-1-6,2045.71,2045.71,2045.71,2045.71,0,2045.71
2014-1-3,2083.14,2083.14,2083.14,2083.14,0,2083.14
2014-1-2,2109.39,2109.39,2109.39,2109.39,0,2109.39
2013-12-31,2115.98,2115.98,2115.98,2115.98,0,2115.98
2013-12-30,2097.53,2097.53,2097.53,2097.53,0,2097.53
2013-12-27,2101.25,2101.25,2101.25,2101.25,0,2101.25
2013-12-26,2073.1,2073.1,2073.1,2073.1,0,2073.1
2013-12-25,2106.35,2106.35,2106.35,2106.35,0,2106.35
2013-12-24,2092.91,2092.91,2092.91,2092.91,0,2092.91
2013-12-23,2089.71,2089.71,2089.71,2089.71,0,2089.71
2013-12-20,2084.79,2084.79,2084.79,2084.79,0,2084.79
2013-12-19,2127.79,2127.79,2127.79,2127.79,0,2127.79
2013-12-18,2148.28,2148.28,2148.28,2148.28,0,2148.28
2013-12-17,2151.08,2151.08,2151.08,2151.08,0,2151.08
2013-12-16,2160.86,2160.86,2160.86,2160.86,0,2160.86
2013-12-13,2196.07,2196.07,2196.07,2196.07,0,2196.07
2013-12-12,2202.8,2202.8,2202.8,2202.8,0,2202.8
2013-12-11,2204.17,2204.17,2204.17,2204.17,0,2204.17
2013-12-10,2237.49,2237.49,2237.49,2237.49,0,2237.49
2013-12-9,2238.2,2238.2,2238.2,2238.2,0,2238.2
2013-12-6,2237.11,2237.11,2237.11,2237.11,0,2237.11
2013-12-5,2247.06,2247.06,2247.06,2247.06,0,2247.06
2013-12-4,2251.76,2251.76,2251.76,2251.76,0,2251.76
2013-12-3,2222.67,2222.67,2222.67,2222.67,0,2222.67
2013-12-2,2207.37,2207.37,2207.37,2207.37,0,2207.37
2013-11-29,2220.5,2220.5,2220.5,2220.5,0,2220.5
2013-11-28,2219.37,2219.37,2219.37,2219.37,0,2219.37
2013-11-27,2201.07,2201.07,2201.07,2201.07,0,2201.07
2013-11-26,2183.07,2183.07,2183.07,2183.07,0,2183.07
2013-11-25,2186.11,2186.11,2186.11,2186.11,0,2186.11
2013-11-22,2196.38,2196.38,2196.38,2196.38,0,2196.38
2013-11-21,2205.77,2205.77,2205.77,2205.77,0,2205.77
2013-11-20,2206.61,2206.61,2206.61,2206.61,0,2206.61
2013-11-19,2193.12,2193.12,2193.12,2193.12,0,2193.12
2013-11-18,2197.22,2197.22,2197.22,2197.22,0,2197.22
2013-11-15,2135.83,2135.83,2135.83,2135.83,0,2135.83
2013-11-14,2100.51,2100.51,2100.51,2100.51,0,2100.51
2013-11-13,2087.94,2087.94,2087.94,2087.94,0,2087.94
2013-11-12,2126.77,2126.77,2126.77,2126.77,0,2126.77
2013-11-11,2109.47,2109.47,2109.47,2109.47,0,2109.47
2013-11-8,2106.13,2106.13,2106.13,2106.13,0,2106.13
2013-11-7,2129.4,2129.4,2129.4,2129.4,0,2129.4
2013-11-6,2139.61,2139.61,2139.61,2139.61,0,2139.61
2013-11-5,2157.24,2157.24,2157.24,2157.24,0,2157.24
2013-11-4,2149.63,2149.63,2149.63,2149.63,0,2149.63
2013-11-1,2149.56,2149.56,2149.56,2149.56,0,2149.56
2013-10-31,2141.61,2141.61,2141.61,2141.61,0,2141.61
2013-10-30,2160.46,2160.46,2160.46,2160.46,0,2160.46
2013-10-29,2128.86,2128.86,2128.86,2128.86,0,2128.86
2013-10-28,2133.87,2133.87,2133.87,2133.87,0,2133.87
2013-10-25,2132.96,2132.96,2132.96,2132.96,0,2132.96
2013-10-24,2164.32,2164.32,2164.32,2164.32,0,2164.32
2013-10-23,2183.11,2183.11,2183.11,2183.11,0,2183.11
2013-10-22,2210.65,2210.65,2210.65,2210.65,0,2210.65
2013-10-21,2229.24,2229.24,2229.24,2229.24,0,2229.24
2013-10-18,2193.78,2193.78,2193.78,2193.78,0,2193.78
2013-10-17,2188.54,2188.54,2188.54,2188.54,0,2188.54
2013-10-16,2193.07,2193.07,2193.07,2193.07,0,2193.07
2013-10-15,2233.41,2233.41,2233.41,2233.41,0,2233.41
2013-10-14,2237.77,2237.77,2237.77,2237.77,0,2237.77
2013-10-11,2228.15,2228.15,2228.15,2228.15,0,2228.15
2013-10-10,2190.93,2190.93,2190.93,2190.93,0,2190.93
2013-10-9,2211.77,2211.77,2211.77,2211.77,0,2211.77
2013-10-8,2198.2,2198.2,2198.2,2198.2,0,2198.2
2013-9-30,2174.67,2174.67,2174.67,2174.67,0,2174.67
2013-9-27,2160.03,2160.03,2160.03,2160.03,0,2160.03
2013-9-26,2155.81,2155.81,2155.81,2155.81,0,2155.81
2013-9-25,2198.51,2198.51,2198.51,2198.51,0,2198.51
2013-9-24,2207.53,2207.53,2207.53,2207.53,0,2207.53
2013-9-23,2221.04,2221.04,2221.04,2221.04,0,2221.04
2013-9-18,2191.85,2191.85,2191.85,2191.85,0,2191.85
2013-9-17,2185.56,2185.56,2185.56,2185.56,0,2185.56
2013-9-16,2231.4,2231.4,2231.4,2231.4,0,2231.4
2013-9-13,2236.22,2236.22,2236.22,2236.22,0,2236.22
2013-9-12,2255.6,2255.6,2255.6,2255.6,0,2255.6
2013-9-11,2241.27,2241.27,2241.27,2241.27,0,2241.27
2013-9-10,2237.98,2237.98,2237.98,2237.98,0,2237.98
2013-9-9,2212.52,2212.52,2212.52,2212.52,0,2212.52
2013-9-6,2139.99,2139.99,2139.99,2139.99,0,2139.99
2013-9-5,2122.43,2122.43,2122.43,2122.43,0,2122.43
2013-9-4,2127.62,2127.62,2127.62,2127.62,0,2127.62
2013-9-3,2123.11,2123.11,2123.11,2123.11,0,2123.11
2013-9-2,2098.45,2098.45,2098.45,2098.45,0,2098.45
2013-8-30,2098.38,2098.38,2098.38,2098.38,0,2098.38
2013-8-29,2097.23,2097.23,2097.23,2097.23,0,2097.23
2013-8-28,2101.3,2101.3,2101.3,2101.3,0,2101.3
2013-8-27,2103.57,2103.57,2103.57,2103.57,0,2103.57
2013-8-26,2096.47,2096.47,2096.47,2096.47,0,2096.47
2013-8-23,2057.46,2057.46,2057.46,2057.46,0,2057.46
2013-8-22,2067.12,2067.12,2067.12,2067.12,0,2067.12
2013-8-21,2072.96,2072.96,2072.96,2072.96,0,2072.96
2013-8-20,2072.59,2072.59,2072.59,2072.59,0,2072.59
2013-8-19,2085.6,2085.6,2085.6,2085.6,0,2085.6
2013-8-16,2068.45,2068.45,2068.45,2068.45,0,2068.45
2013-8-15,2081.88,2081.88,2081.88,2081.88,0,2081.88
2013-8-14,2100.14,2100.14,2100.14,2100.14,0,2100.14
2013-8-13,2106.16,2106.16,2106.16,2106.16,0,2106.16
2013-8-12,2101.28,2101.28,2101.28,2101.28,0,2101.28
2013-8-9,2052.24,2052.24,2052.24,2052.24,0,2052.24
