Date,Open,High,Low,Close,Volume,Adj Close
2014-07-11,1.49,1.50,1.49,1.50,242832800,1.50
2014-07-10,1.49,1.50,1.49,1.49,255357800,1.49
2014-07-09,1.51,1.51,1.49,1.49,379637500,1.49
2014-07-08,1.51,1.51,1.50,1.51,285635900,1.51
2014-07-07,1.51,1.51,1.51,1.51,273888300,1.51
2014-07-04,1.50,1.51,1.50,1.51,351333900,1.51
2014-07-03,1.50,1.51,1.50,1.50,419994600,1.50
2014-07-02,1.50,1.50,1.49,1.50,396305600,1.50
2014-07-01,1.50,1.50,1.49,1.49,289802300,1.49
2014-06-30,1.49,1.50,1.49,1.50,428760900,1.50
2014-06-27,1.49,1.50,1.48,1.49,300442200,1.49
2014-06-26,1.48,1.49,1.48,1.49,297557400,1.49
2014-06-25,1.49,1.49,1.48,1.48,229750900,1.48
2014-06-24,1.48,1.49,1.48,1.49,264854000,1.49
2014-06-23,1.49,1.49,1.48,1.48,317678900,1.48
2014-06-20,1.48,1.49,1.48,1.49,390180000,1.49
2014-06-19,1.50,1.50,1.47,1.48,454067500,1.48
2014-06-18,1.50,1.50,1.50,1.50,389876800,1.50
2014-06-17,1.51,1.51,1.50,1.50,430793800,1.50
2014-06-16,1.50,1.52,1.50,1.52,620840600,1.52
2014-06-13,1.48,1.51,1.48,1.50,494442300,1.50
2014-06-12,1.48,1.49,1.48,1.48,262987200,1.48
2014-06-11,1.48,1.49,1.48,1.48,324852200,1.48
2014-06-10,1.48,1.49,1.47,1.49,463991300,1.49
2014-06-09,1.46,1.49,1.46,1.47,434378100,1.47
2014-06-06,1.48,1.48,1.46,1.47,286439000,1.47
2014-06-05,1.46,1.48,1.46,1.48,276642500,1.48
2014-06-04,1.47,1.47,1.46,1.46,265025000,1.46
2014-06-03,1.48,1.49,1.47,1.47,274254400,1.47
2014-05-30,1.48,1.49,1.47,1.48,296468300,1.48
2014-05-29,1.49,1.49,1.48,1.48,361175400,1.48
2014-05-28,1.48,1.49,1.47,1.49,366135200,1.49
2014-05-27,1.48,1.49,1.48,1.48,302460400,1.48
2014-05-26,1.49,1.50,1.48,1.48,350940200,1.48
2014-05-23,1.47,1.48,1.47,1.48,367558000,1.48
2014-05-22,1.47,1.49,1.47,1.47,459244800,1.47
2014-05-21,1.45,1.47,1.44,1.47,380416800,1.47
2014-05-20,1.46,1.47,1.45,1.46,262512500,1.46
2014-05-19,1.48,1.48,1.45,1.46,404180100,1.46
2014-05-16,1.48,1.49,1.48,1.48,289055500,1.48
2014-05-15,1.50,1.50,1.48,1.48,317292100,1.48
2014-05-14,1.50,1.51,1.50,1.50,243800500,1.50
2014-05-13,1.50,1.50,1.50,1.50,288566200,1.50
2014-05-12,1.49,1.51,1.48,1.50,632071300,1.50
2014-05-09,1.48,1.48,1.47,1.48,411218300,1.48
2014-05-08,1.47,1.50,1.47,1.48,525162000,1.48
2014-05-07,1.48,1.48,1.47,1.47,315653600,1.47
2014-05-06,1.48,1.50,1.48,1.48,353322500,1.48
2014-05-05,1.49,1.49,1.47,1.48,320350600,1.48
2014-04-30,1.49,1.50,1.49,1.49,282706600,1.49
2014-04-29,1.48,1.50,1.48,1.49,475628300,1.49
2014-04-28,1.50,1.50,1.48,1.48,376856400,1.48
2014-04-25,1.51,1.52,1.50,1.50,397264700,1.50
2014-04-24,1.50,1.52,1.50,1.51,363321300,1.51
2014-04-23,1.50,1.51,1.50,1.50,387478200,1.50
2014-04-22,1.49,1.51,1.49,1.50,486762600,1.50
2014-04-21,1.50,1.52,1.49,1.49,450441300,1.49
2014-04-18,1.51,1.52,1.50,1.51,468765100,1.51
2014-04-17,1.53,1.53,1.51,1.52,327915700,1.52
2014-04-16,1.52,1.53,1.51,1.52,432877700,1.52
2014-04-15,1.55,1.55,1.52,1.52,501375800,1.52
2014-04-14,1.56,1.57,1.54,1.55,403141700,1.55
2014-04-11,1.57,1.57,1.55,1.56,584037200,1.56
2014-04-10,1.53,1.59,1.52,1.57,876352800,1.57
2014-04-09,1.53,1.54,1.52,1.53,399524200,1.53
2014-04-08,1.49,1.54,1.49,1.53,863753800,1.53
2014-04-04,1.47,1.49,1.47,1.49,491083300,1.49
2014-04-03,1.50,1.50,1.48,1.48,557376800,1.48
2014-04-02,1.47,1.49,1.47,1.49,619125400,1.49
2014-04-01,1.46,1.48,1.46,1.47,446023900,1.47
2014-03-31,1.48,1.48,1.45,1.46,364409900,1.46
2014-03-28,1.46,1.48,1.46,1.47,564255700,1.47
2014-03-27,1.46,1.49,1.45,1.46,546016200,1.46
2014-03-26,1.47,1.48,1.46,1.46,323369500,1.46
2014-03-25,1.47,1.48,1.46,1.47,383350600,1.47
