Date,Open,High,Low,Close,Volume,Adj Close
2014-03-03,3.35,3.49,3.26,3.26,8481100,3.26
2014-02-03,3.37,3.79,3.28,3.35,8999500,3.35
2014-01-01,3.54,3.60,3.20,3.37,4584800,3.37
2013-12-02,3.74,3.94,3.37,3.54,10233400,3.54
2013-11-01,3.39,3.87,3.38,3.82,14637200,3.82
2013-10-01,3.50,3.94,3.30,3.43,12932900,3.43
2013-09-02,3.50,4.47,3.17,3.50,40244300,3.50
2013-08-01,2.88,3.57,2.88,3.46,17196600,3.46
2013-07-01,2.84,3.10,2.78,2.85,6329200,2.85
2013-06-03,3.43,3.45,2.68,2.85,6537600,2.85
2013-05-01,3.05,3.56,3.05,3.43,15274900,3.43
2013-04-01,3.20,3.21,3.00,3.05,4512100,3.05
2013-03-01,3.38,3.43,3.17,3.18,9087800,3.18
2013-02-01,3.36,3.58,3.29,3.40,11420300,3.40
2013-01-01,3.39,3.71,3.36,3.38,18169200,3.38
2012-12-03,3.11,3.42,3.02,3.39,15009400,3.39
2012-11-01,3.38,3.50,3.07,3.12,4441600,3.12
2012-10-01,3.40,3.71,3.33,3.39,5228400,3.39
2012-09-03,3.60,3.75,3.22,3.40,7227000,3.40
2012-08-01,3.91,4.04,3.57,3.59,4592700,3.59
2012-07-02,4.24,4.39,3.88,3.89,4679000,3.89
2012-06-01,4.71,4.75,4.10,4.22,5635900,4.22
2012-05-01,4.75,5.02,4.54,4.71,7040600,4.71
2012-04-02,4.52,4.85,4.47,4.75,5988200,4.75
2012-03-01,5.14,5.30,4.47,4.52,10402900,4.52
2012-02-01,4.91,5.33,4.85,5.17,8906700,5.17
2012-01-02,4.61,5.01,4.50,4.90,6309800,4.90
2011-12-01,5.54,5.55,4.49,4.70,5989500,4.70
2011-11-01,6.06,6.25,5.34,5.37,8910700,5.37
2011-10-10,5.69,6.19,5.61,6.11,13950600,6.11
2011-09-01,5.45,5.84,5.18,5.68,7121500,5.68
2011-08-01,6.28,6.35,5.25,5.45,9165900,5.45
2011-07-01,6.69,6.92,6.24,6.26,9887900,6.26
2011-06-01,6.73,6.87,6.20,6.65,7537200,6.65
2011-05-03,6.80,7.20,6.52,6.73,9319300,6.73
2011-04-01,7.54,7.79,6.68,6.79,17089600,6.79
2011-03-01,8.16,8.43,7.46,7.54,29542800,7.54
2011-02-01,7.25,8.27,7.01,8.21,45483300,8.21
2011-01-04,6.59,7.44,6.25,7.29,18008000,7.29
2010-12-01,6.61,7.33,6.39,6.53,15614400,6.53
2010-11-01,7.39,7.85,6.46,6.62,23570200,6.62
2010-10-01,6.31,8.30,6.31,7.49,35607700,7.49
2010-09-01,6.69,6.93,6.19,6.31,11942000,6.31
2010-08-02,7.29,7.35,6.64,6.69,18569000,6.69
2010-07-01,6.14,7.38,6.02,7.31,21558400,7.31
2010-06-01,6.71,7.19,6.06,6.11,7472300,6.11
2010-05-03,7.29,7.30,6.61,6.78,10803300,6.78
2010-04-01,8.90,9.13,7.12,7.29,15435500,7.29
2010-03-01,9.08,9.36,8.74,8.90,11889800,8.90
2010-02-01,9.28,9.28,8.64,9.08,9891400,9.08
2010-01-04,10.35,10.57,9.22,9.27,23885300,9.27
