Date,Open,High,Low,Close,Volume,Adj Close
2014-03-10,3.35,3.36,3.26,3.26,7507100,3.26
2014-03-03,3.35,3.49,3.33,3.36,7174500,3.36
2014-02-24,3.49,3.52,3.28,3.35,8717200,3.35
2014-02-17,3.59,3.79,3.48,3.51,14402700,3.51
2014-02-10,3.43,3.50,3.42,3.50,8454300,3.50
2014-02-03,3.37,3.43,3.34,3.42,1695500,3.42
2014-01-27,3.31,3.38,3.28,3.37,3306400,3.37
2014-01-20,3.31,3.36,3.20,3.33,5751600,3.33
2014-01-13,3.33,3.39,3.22,3.31,4013100,3.31
2014-01-06,3.55,3.55,3.26,3.33,5535100,3.33
2013-12-30,3.48,3.60,3.43,3.55,4615100,3.55
2013-12-23,3.42,3.49,3.37,3.45,4820000,3.45
2013-12-16,3.77,3.77,3.40,3.43,9437400,3.43
2013-12-09,3.86,3.88,3.69,3.76,9845100,3.76
2013-12-02,3.74,3.94,3.62,3.83,17425900,3.83
2013-11-25,3.67,3.87,3.63,3.82,16215000,3.82
2013-11-18,3.58,3.72,3.58,3.67,13089500,3.67
2013-11-11,3.47,3.64,3.39,3.57,9930200,3.57
2013-11-04,3.59,3.72,3.42,3.50,15618200,3.50
2013-10-28,3.42,3.60,3.30,3.59,11284600,3.59
2013-10-21,3.64,3.65,3.40,3.42,12419100,3.42
2013-10-14,3.65,3.94,3.59,3.63,22807400,3.63
2013-10-07,3.50,3.71,3.42,3.64,14746300,3.64
2013-09-30,3.49,3.54,3.46,3.50,1987100,3.50
2013-09-23,3.73,3.84,3.40,3.49,29930100,3.49
2013-09-16,3.80,3.89,3.65,3.72,23201000,3.72
2013-09-09,3.43,4.47,3.37,3.86,84054500,3.86
2013-09-02,3.50,3.53,3.17,3.40,24457600,3.40
2013-08-26,2.97,3.57,2.96,3.46,40699800,3.46
2013-08-19,2.95,3.03,2.92,2.97,5450400,2.97
2013-08-12,2.95,3.06,2.94,2.98,7281500,2.98
2013-08-05,2.96,3.08,2.92,2.95,7303400,2.95
2013-07-29,2.88,3.00,2.81,2.98,5278500,2.98
2013-07-22,2.84,2.98,2.81,2.89,5641500,2.89
