Date,Open,High,Low,Close,Volume,Adj Close
2014-1-24,3.31,3.34,3.27,3.33,5662300,3.33
2014-1-23,3.34,3.34,3.3,3.31,6380400,3.31
2014-1-22,3.25,3.36,3.23,3.35,6662000,3.35
2014-1-21,3.22,3.27,3.22,3.25,2710900,3.25
2014-1-20,3.31,3.31,3.2,3.23,7342500,3.23
2014-1-17,3.37,3.38,3.3,3.31,3479300,3.31
2014-1-16,3.35,3.39,3.33,3.35,3519600,3.35
2014-1-15,3.36,3.36,3.31,3.36,2705300,3.36
2014-1-14,3.32,3.37,3.3,3.36,3544200,3.36
2014-1-13,3.33,3.39,3.22,3.33,6817400,3.33
2014-1-10,3.3,3.4,3.26,3.33,7258700,3.33
2014-1-9,3.41,3.44,3.31,3.32,7321600,3.32
2014-1-8,3.47,3.47,3.38,3.4,4784600,3.4
2014-1-7,3.41,3.45,3.38,3.44,3501200,3.44
2014-1-6,3.55,3.55,3.41,3.42,4809600,3.42
2014-1-3,3.57,3.58,3.5,3.55,5020500,3.55
2014-1-2,3.55,3.6,3.5,3.59,7398900,3.59
2014-1-1,3.54,3.54,3.54,3.54,0,3.54
2013-12-31,3.47,3.54,3.46,3.54,6835800,3.54
2013-12-30,3.48,3.49,3.43,3.46,3820600,3.46
2013-12-27,3.42,3.46,3.4,3.45,5537100,3.45
2013-12-26,3.48,3.48,3.4,3.4,5333100,3.4
2013-12-25,3.44,3.49,3.42,3.47,4086300,3.47
2013-12-24,3.43,3.49,3.42,3.44,4639900,3.44
2013-12-23,3.42,3.45,3.37,3.44,4503700,3.44
2013-12-20,3.53,3.53,3.4,3.43,11942500,3.43
2013-12-19,3.67,3.7,3.48,3.51,15538600,3.51
2013-12-18,3.66,3.69,3.64,3.67,3671900,3.67
2013-12-17,3.67,3.7,3.63,3.66,5229300,3.66
2013-12-16,3.77,3.77,3.64,3.68,10804800,3.68
2013-12-13,3.76,3.77,3.72,3.76,5904200,3.76
2013-12-12,3.73,3.79,3.69,3.76,10860100,3.76
2013-12-11,3.82,3.82,3.72,3.74,13200300,3.74
2013-12-10,3.8,3.88,3.8,3.82,10201800,3.82
2013-12-9,3.86,3.87,3.8,3.8,9059300,3.8
2013-12-6,3.86,3.93,3.81,3.83,12344500,3.83
2013-12-5,3.86,3.89,3.81,3.87,17207500,3.87
2013-12-4,3.72,3.94,3.72,3.87,25931200,3.87
2013-12-3,3.64,3.74,3.63,3.74,9775600,3.74
2013-12-2,3.74,3.78,3.62,3.66,21871000,3.66
2013-11-29,3.81,3.87,3.77,3.82,16377100,3.82
2013-11-28,3.75,3.84,3.72,3.8,24416400,3.8
2013-11-27,3.65,3.74,3.63,3.73,14198700,3.73
2013-11-26,3.68,3.71,3.64,3.65,9024800,3.65
2013-11-25,3.67,3.75,3.64,3.7,17058300,3.7
2013-11-22,3.65,3.69,3.63,3.67,8945400,3.67
2013-11-21,3.68,3.71,3.63,3.65,10694700,3.65
2013-11-20,3.65,3.72,3.61,3.7,16003000,3.7
2013-11-19,3.68,3.71,3.63,3.65,11517500,3.65
