Date,Open,High,Low,Close,Volume,Adj Close
2014-03-17,32.46,32.52,32.15,32.38,30000,32.38
2014-03-14,32.95,32.96,32.58,32.89,17000,32.89
2014-03-13,32.14,33.12,32.00,32.94,96100,32.94
2014-03-12,32.67,32.74,32.32,32.38,36700,32.38
2014-03-11,31.73,32.44,31.73,32.36,17300,32.36
2014-03-10,31.94,32.32,31.76,31.82,13000,31.82
2014-03-07,31.23,31.85,31.22,31.69,27400,31.69
2014-03-06,31.50,31.56,31.07,31.37,12400,31.37
2014-03-05,31.94,32.00,31.66,31.73,13500,31.73
2014-03-04,32.13,32.22,31.77,31.87,11400,31.87
2014-03-03,33.21,33.27,32.64,32.82,40900,32.82
2014-02-28,32.77,32.96,32.49,32.67,14600,32.67
2014-02-27,33.51,33.51,32.87,32.87,29600,32.87
2014-02-26,33.89,33.90,33.27,33.49,15500,33.49
2014-02-25,34.25,34.30,33.73,34.03,25100,34.03
2014-02-24,33.92,34.18,33.58,34.17,15500,34.17
2014-02-21,33.68,33.90,33.49,33.84,16300,33.84
2014-02-20,34.46,34.59,33.66,33.79,25400,33.79
2014-02-19,34.13,34.49,33.50,34.47,50200,34.47
2014-02-18,33.97,34.19,33.90,33.97,29000,33.97
2014-02-14,34.55,34.63,34.01,34.09,41700,34.09
2014-02-13,35.60,35.71,34.50,34.63,20900,34.63
2014-02-12,35.01,35.47,34.91,35.29,118500,35.29
2014-02-11,35.89,36.00,35.03,35.23,39700,35.23
2014-02-10,36.38,36.59,36.07,36.16,34500,36.16
2014-02-07,37.12,37.31,36.37,36.43,50500,36.43
2014-02-06,38.44,38.44,37.32,37.38,39500,37.38
2014-02-05,39.07,39.70,38.36,38.50,92900,38.50
2014-02-04,38.96,39.19,38.19,38.62,79600,38.62
2014-02-03,37.46,39.44,37.29,39.41,186100,39.41
2014-01-31,37.87,37.94,36.89,37.50,62800,37.50
2014-01-30,37.14,37.69,36.84,37.13,58900,37.13
2014-01-29,38.21,38.21,36.82,37.47,68200,37.47
2014-01-28,37.83,37.98,37.67,37.75,39900,37.75
2014-01-27,37.58,38.66,37.58,38.15,59700,38.15
2014-01-24,36.41,37.79,36.32,37.79,70600,37.79
2014-01-23,35.30,36.18,35.15,35.75,48800,35.75
2014-01-22,34.14,34.92,34.09,34.76,28900,34.76
2014-01-21,33.93,34.47,33.68,34.25,27100,34.25
2014-01-17,34.30,34.60,34.22,34.52,10900,34.52
2014-01-16,34.50,34.54,34.35,34.37,3200,34.37
2014-01-15,34.78,34.79,34.31,34.39,19000,34.39
2014-01-14,35.74,35.75,34.93,35.01,71700,35.01
2014-01-13,35.20,36.07,35.15,35.96,25200,35.96
2014-01-10,35.24,35.34,35.03,35.04,9700,35.04
2014-01-09,34.75,35.54,34.75,35.34,28900,35.34
2014-01-08,35.44,35.55,34.97,35.13,22100,35.13
2014-01-07,35.25,35.55,35.25,35.42,8500,35.42
2014-01-06,34.42,35.39,34.42,35.20,31100,35.20
2014-01-03,34.68,34.84,34.62,34.80,29800,34.80
2014-01-02,34.31,34.83,34.29,34.71,12400,34.71
2013-12-31,34.40,34.47,34.17,34.23,22600,34.23
2013-12-30,34.47,34.50,34.33,34.47,11300,34.47
2013-12-27,34.60,34.63,34.37,34.44,24100,34.44
2013-12-26,34.93,34.95,34.66,34.72,14100,34.72
2013-12-24,35.75,35.84,35.08,35.08,38500,35.08
2013-12-23,35.80,36.03,35.79,35.86,17900,35.86
2013-12-20,36.00,36.40,35.95,36.17,35300,36.17
2013-12-19,36.77,36.77,36.31,36.38,24500,36.38
2013-12-18,37.51,38.08,36.50,36.56,104300,36.56
2013-12-17,37.74,37.88,37.26,37.41,17500,37.41
2013-12-16,37.58,37.92,37.31,37.79,56600,37.79
2013-12-13,38.09,38.22,37.93,38.04,14200,38.04
2013-12-12,38.32,38.61,38.17,38.41,13200,38.41
2013-12-11,36.96,38.33,36.96,38.22,68400,38.22
2013-12-10,36.97,36.97,36.66,36.97,13500,36.97
2013-12-09,37.15,37.55,37.13,37.16,22400,37.16
2013-12-06,37.75,37.77,37.36,37.61,43300,37.61
2013-12-05,38.40,38.67,38.27,38.56,61000,38.56
2013-12-04,38.30,38.78,37.88,38.19,54100,38.19
2013-12-03,38.07,38.90,37.99,38.56,66300,38.56
2013-12-02,37.63,37.83,37.22,37.80,30300,37.80
2013-11-29,37.01,37.73,37.01,37.69,12100,37.69
2013-11-27,37.51,37.74,37.51,37.74,28900,37.74
2013-11-26,37.70,38.02,37.69,37.78,6400,37.78
2013-11-25,36.82,37.78,36.82,37.68,30400,37.68
2013-11-22,37.77,37.82,37.18,37.18,11400,37.18
2013-11-21,37.85,38.06,37.61,37.65,7500,37.65
2013-11-20,37.65,38.39,37.53,38.24,32700,38.24
2013-11-19,37.58,37.87,37.25,37.58,35100,37.58
2013-11-18,36.67,37.54,36.67,37.39,13600,37.39
2013-11-15,36.93,37.07,36.79,36.84,4900,36.84
2013-11-14,37.44,37.80,37.21,37.21,22400,37.21
2013-11-13,38.57,38.58,37.82,37.85,44100,37.85
2013-11-12,38.26,38.43,38.15,38.31,9800,38.31
2013-11-11,37.88,38.20,37.88,38.04,7500,38.04
2013-11-08,39.66,39.66,38.06,38.06,64000,38.06
2013-11-07,38.35,39.56,38.35,39.48,66000,39.48
2013-11-06,38.47,38.73,38.33,38.51,57100,38.51
2013-11-05,39.23,39.33,38.87,38.96,45900,38.96
2013-11-04,38.82,38.99,38.55,38.55,25700,38.55
2013-11-01,38.83,39.36,38.65,38.98,29300,38.98
2013-10-31,38.80,39.00,38.36,38.88,87300,38.88
2013-10-30,38.04,39.14,37.94,38.69,50100,38.69
2013-10-29,38.58,38.72,38.27,38.29,75200,38.29
2013-10-28,38.50,38.70,38.11,38.61,18100,38.61
2013-10-25,38.25,38.79,38.12,38.17,59200,38.17
2013-10-24,38.49,38.70,38.10,38.13,24200,38.13
2013-10-23,38.21,38.60,38.21,38.43,19000,38.43
2013-10-22,38.28,38.51,37.90,38.05,62300,38.05
2013-10-21,38.97,39.35,38.96,39.05,37800,39.05
2013-10-18,39.23,39.39,38.98,39.18,49700,39.18
2013-10-17,40.60,40.60,39.29,39.43,30600,39.43
2013-10-16,40.89,41.00,40.31,40.44,18500,40.44
2013-10-15,41.05,41.28,40.80,41.22,17800,41.22
2013-10-14,41.58,41.65,40.79,40.92,22300,40.92
2013-10-11,42.04,42.05,41.20,41.24,52400,41.24
2013-10-10,42.55,42.61,41.75,41.85,65500,41.85
2013-10-09,43.63,44.30,43.20,43.56,31100,43.56
2013-10-08,42.65,43.88,42.55,43.73,49600,43.73
2013-10-07,42.15,42.41,41.85,42.30,27100,42.30
2013-10-04,42.53,42.82,41.38,41.43,11600,41.43
2013-10-03,42.22,43.33,42.22,42.72,260300,42.72
2013-10-02,42.92,42.92,42.05,42.31,36900,42.31
2013-10-01,42.75,42.83,42.18,42.23,35200,42.23
2013-09-30,43.35,43.41,42.47,42.65,32300,42.65
2013-09-27,42.05,42.49,41.89,42.41,17500,42.41
2013-09-26,41.66,41.86,41.16,41.58,88000,41.58
2013-09-25,42.24,42.24,41.55,42.15,50700,42.15
2013-09-24,42.25,42.53,41.76,42.30,13000,42.30
2013-09-23,41.83,42.29,41.64,42.24,16700,42.24
2013-09-20,40.67,41.70,40.61,41.69,12600,41.69
