Date,Open,High,Low,Close,Volume,Adj Close
2014-02-03,182.89,202.72,169.36,198.23,8268800,198.23
2014-01-02,149.80,186.00,136.67,181.41,9068600,181.41
2013-12-02,126.35,158.00,123.93,150.43,9603000,150.43
2013-11-01,163.00,181.43,116.10,127.28,15841300,127.28
2013-10-01,193.96,194.23,153.00,159.94,11641300,159.94
2013-09-03,173.40,194.50,158.51,193.37,9006700,193.37
2013-08-01,135.00,173.00,132.36,169.00,12286100,169.00
2013-07-01,109.36,137.49,104.50,134.28,10721800,134.28
2013-06-03,97.62,110.25,88.25,107.36,9243100,107.36
2013-05-01,55.99,114.90,53.00,97.76,15745100,97.76
2013-04-01,42.36,58.18,40.21,53.99,3957700,53.99
2013-03-01,35.00,39.49,34.25,37.89,1540600,37.89
2013-02-01,38.17,40.00,33.80,34.83,2432600,34.83
2013-01-02,35.00,38.71,32.11,37.51,1398300,37.51
2012-12-03,33.89,35.80,32.75,33.87,1115400,33.87
2012-11-01,28.25,34.29,28.20,33.82,1199100,33.82
2012-10-01,29.50,30.10,26.86,28.13,876000,28.13
2012-09-04,28.52,32.78,27.30,29.28,1980900,29.28
2012-08-01,27.99,31.30,25.52,28.52,1087900,28.52
2012-07-02,31.35,36.00,27.21,27.42,1624600,27.42
2012-06-01,28.53,34.50,27.11,31.29,1297700,31.29
2012-05-01,33.13,34.68,26.83,29.50,1604700,29.50
2012-04-02,37.33,38.47,31.00,33.13,1158300,33.13
2012-03-01,33.51,39.95,32.62,37.24,1047700,37.24
2012-02-01,29.07,34.97,29.00,33.41,1186400,33.41
2012-01-03,28.94,30.00,22.64,29.07,1328300,29.07
2011-12-01,32.57,35.00,26.03,28.56,1022300,28.56
2011-11-01,28.39,35.00,28.00,32.74,1267000,32.74
2011-10-03,24.95,30.00,22.93,29.37,1085500,29.37
2011-09-01,24.66,26.99,22.29,24.39,921700,24.39
2011-08-01,28.67,29.20,21.50,24.74,1219100,24.74
2011-07-01,29.07,30.44,26.63,28.17,1102500,28.17
2011-06-01,30.00,31.50,25.50,29.13,1848800,29.13
2011-05-02,27.60,30.28,25.52,30.14,1601800,30.14
2011-04-01,27.45,28.18,24.20,27.60,1531000,27.60
2011-03-01,24.05,28.71,21.77,27.75,1916500,27.75
2011-02-01,24.31,25.49,21.11,23.89,1597600,23.89
2011-01-03,26.84,28.71,22.37,24.10,1462500,24.10
2010-12-01,35.87,36.42,25.00,26.63,1741400,26.63
2010-11-01,21.94,36.00,21.05,35.33,1454100,35.33
2010-10-01,20.69,21.87,20.00,21.84,325100,21.84
2010-09-01,19.62,23.16,19.50,20.41,963800,20.41
2010-08-02,20.50,22.18,17.39,19.48,692600,19.48
2010-07-01,25.00,25.92,14.98,19.94,3095300,19.94
2010-06-29,19.00,30.42,17.54,23.83,26570200,23.83
