Date,Open,High,Low,Close,Volume,Adj Close
2014-02-10,189.34,202.72,189.32,198.23,8608300,198.23
2014-02-03,182.89,186.63,169.36,186.53,6697800,186.53
2014-01-27,175.16,186.00,164.71,181.41,7163800,181.41
2014-01-21,171.24,182.38,170.81,174.60,8072200,174.60
2014-01-13,145.78,173.20,136.67,170.01,15110800,170.01
2014-01-06,150.00,153.70,142.25,145.72,5877300,145.72
2013-12-30,151.12,154.81,146.55,149.56,4903300,149.56
2013-12-23,144.85,158.00,142.60,151.12,6963100,151.12
2013-12-16,148.48,154.90,139.10,143.24,9773900,143.24
2013-12-09,137.00,151.80,134.21,147.65,9661400,147.65
2013-12-02,126.35,144.94,123.93,137.36,12728200,137.36
2013-11-25,124.50,130.59,116.10,127.28,11549700,127.28
2013-11-18,135.27,135.45,117.93,121.38,15926400,121.38
2013-11-11,141.00,145.42,134.11,135.45,12709300,135.45
2013-11-04,165.00,181.43,132.32,137.95,22114500,137.95
2013-10-28,170.18,170.50,153.00,162.17,9365700,162.17
2013-10-21,183.28,183.39,160.15,169.66,10928600,169.66
2013-10-14,175.00,188.79,174.15,183.40,7917800,183.40
2013-10-07,182.46,186.73,161.50,178.70,11550800,178.70
2013-09-30,189.00,194.50,168.00,180.98,15137300,180.98
2013-09-23,184.48,191.28,177.11,190.90,7046000,190.90
2013-09-16,168.00,185.83,163.36,183.39,9501500,183.39
2013-09-09,163.12,167.90,158.51,165.54,8141200,165.54
2013-09-03,173.40,173.70,165.15,166.97,9710400,166.97
2013-08-26,165.15,173.00,160.25,169.00,15388500,169.00
2013-08-19,143.43,162.30,142.83,161.84,8849300,161.84
2013-08-12,149.43,150.50,135.00,142.00,10528400,142.00
2013-08-05,140.01,158.88,132.36,153.00,14768300,153.00
2013-07-29,129.32,138.25,128.18,138.00,8150200,138.00
2013-07-22,119.89,130.68,119.56,129.39,7864100,129.39
2013-07-15,133.03,133.26,104.50,119.68,17122300,119.68
2013-07-08,121.37,129.94,118.82,129.90,8169000,129.90
2013-07-01,109.36,121.89,109.15,120.09,8648200,120.09
2013-06-24,96.50,110.25,95.30,107.36,6812900,107.36
2013-06-17,103.60,107.13,97.50,99.55,9253100,99.55
2013-06-10,98.93,102.52,94.05,100.30,7668300,100.30
2013-06-03,97.62,102.90,88.25,102.04,12088600,102.04
2013-05-28,101.55,114.90,97.73,97.76,19024200,97.76
2013-05-20,91.12,97.95,83.05,97.08,10812200,97.08
2013-05-13,80.99,97.12,78.11,91.50,23415100,91.50
2013-05-06,56.39,81.00,55.12,76.76,14963000,76.76
2013-04-29,51.76,58.18,51.20,54.55,3666800,54.55
2013-04-22,48.60,53.74,47.75,51.20,3344200,51.20
2013-04-15,43.50,49.88,42.51,47.83,2671900,47.83
2013-04-08,41.97,45.14,40.33,43.75,2418600,43.75
2013-04-01,42.36,46.68,40.21,41.37,6042300,41.37
2013-03-25,37.10,38.52,36.77,37.89,1660500,37.89
2013-03-18,35.30,37.06,34.92,36.62,1084800,36.62
2013-03-11,38.87,39.49,35.21,35.29,1795400,35.29
2013-03-04,34.77,39.44,34.70,38.47,1413000,38.47
2013-02-25,36.15,36.75,33.80,34.65,2224600,34.65
2013-02-19,37.36,39.65,34.54,36.11,4352100,36.11
2013-02-11,37.98,39.15,36.95,37.04,1900500,37.04
2013-02-04,38.40,40.00,37.59,39.24,1333500,39.24
2013-01-28,36.86,38.71,36.86,38.30,1276500,38.30
2013-01-22,34.56,37.72,34.26,36.98,1685600,36.98
2013-01-14,33.08,34.85,32.85,34.52,1783800,34.52
2013-01-07,34.80,34.80,32.11,32.91,981900,32.91
2012-12-31,33.00,35.45,33.00,34.40,801400,34.40
2012-12-24,33.64,34.50,33.00,33.22,488100,33.22
2012-12-17,33.77,35.26,33.58,34.00,1218200,34.00
2012-12-10,34.43,35.80,32.75,33.81,1548100,33.81
2012-12-03,33.89,35.00,33.50,34.17,1067000,34.17
2012-11-26,32.10,34.29,31.52,33.82,1091100,33.82
2012-11-19,32.07,33.47,31.70,32.13,927100,32.13
2012-11-12,30.29,32.12,30.16,31.84,863600,31.84
2012-11-05,29.80,32.05,29.33,30.32,1644800,30.32
2012-10-31,27.70,29.55,27.37,28.92,943200,28.92
2012-10-22,27.99,28.56,27.02,27.38,658100,27.38
2012-10-15,28.02,28.99,26.86,27.74,876800,27.74
2012-10-08,28.86,29.40,27.50,27.64,804900,27.64
2012-10-01,29.50,30.10,28.65,28.89,1029200,28.89
2012-09-24,29.51,31.03,27.48,29.28,2922300,29.28
2012-09-17,32.35,32.78,29.54,30.02,1766400,30.02
2012-09-10,29.20,30.65,27.30,30.39,1332900,30.39
2012-09-04,28.52,29.57,27.81,29.35,796600,29.35
2012-08-27,29.57,29.70,28.00,28.52,957600,28.52
2012-08-20,30.15,30.85,29.00,29.50,1123300,29.50
2012-08-13,29.69,31.30,28.81,30.01,673200,30.01
2012-08-06,27.55,30.90,27.55,29.94,1320800,29.94
2012-07-30,29.51,30.25,25.52,27.27,1549400,27.27
2012-07-23,31.05,31.30,27.64,29.51,1932900,29.51
2012-07-16,34.32,36.00,31.06,31.79,2039900,31.79
2012-07-09,30.94,34.40,30.67,34.25,947600,34.25
2012-07-02,31.35,31.80,30.19,30.99,1075200,30.99
2012-06-25,33.94,34.12,30.62,31.29,1439900,31.29
2012-06-18,29.94,34.50,29.50,33.79,2105700,33.79
2012-06-11,30.31,31.00,28.62,29.91,713600,29.91
2012-06-04,28.03,30.19,27.11,30.08,788900,30.08
2012-05-29,30.01,31.93,27.76,28.15,1240400,28.15
2012-05-21,27.58,31.34,27.12,29.81,1378800,29.81
2012-05-14,31.92,32.13,26.83,27.56,1397800,27.56
2012-05-07,31.96,34.68,29.37,32.25,2596100,32.25
2012-04-30,33.27,34.39,31.40,31.83,731800,31.83
2012-04-23,32.86,33.63,31.00,33.34,658700,33.34
2012-04-16,33.41,33.73,31.53,33.16,926900,33.16
2012-04-09,34.10,34.48,32.01,33.59,1258400,33.59
2012-04-02,37.33,38.47,34.41,34.48,2029400,34.48
2012-03-26,35.59,39.95,35.04,37.24,1663500,37.24
2012-03-19,35.26,35.32,33.15,34.08,776500,34.08
2012-03-12,34.69,36.59,34.60,35.32,1023400,35.32
2012-03-05,34.35,35.31,32.62,34.74,718400,34.74
2012-02-27,33.41,34.50,33.00,34.04,601400,34.04
2012-02-21,34.87,34.97,32.50,33.75,1142600,33.75
2012-02-13,31.55,34.97,30.90,34.97,1865300,34.97
2012-02-06,31.10,32.90,29.84,31.10,1089700,31.10
2012-01-30,29.49,31.33,28.53,31.15,755700,31.15
2012-01-23,26.81,29.72,26.44,29.33,816600,29.33
2012-01-17,26.62,27.74,26.25,26.60,1955100,26.60
2012-01-09,27.00,28.62,22.64,22.79,1694100,22.79
2012-01-03,28.94,29.50,26.41,26.91,887500,26.91
2011-12-27,27.66,29.34,27.64,28.56,545100,28.56
2011-12-19,28.09,28.50,26.03,27.90,1027300,27.90
2011-12-12,30.44,30.93,27.98,28.00,929300,28.00
2011-12-05,33.53,35.00,29.61,31.04,1466300,31.04
2011-11-28,32.00,33.99,31.63,33.30,773100,33.30
2011-11-21,32.44,32.79,31.05,31.66,613900,31.66
2011-11-14,33.00,35.00,32.54,32.60,1260400,32.60
2011-11-07,31.64,34.50,30.30,33.64,1600700,33.64
2011-10-31,29.50,32.49,28.00,32.31,1637400,32.31
2011-10-24,27.87,30.00,27.40,29.87,847700,29.87
2011-10-17,27.86,28.43,26.71,28.03,937800,28.03
2011-10-10,27.31,28.55,27.00,28.05,1013300,28.05
2011-10-03,24.95,27.60,22.93,26.99,1306700,26.99
2011-09-26,26.52,26.99,23.49,24.39,919600,24.39
2011-09-19,24.95,26.95,23.82,26.38,1051500,26.38
2011-09-12,22.50,25.84,22.45,25.80,820700,25.80
2011-09-06,22.50,24.03,22.29,22.97,611000,22.97
2011-08-29,24.22,25.50,22.68,23.07,722200,23.07
2011-08-22,23.11,23.95,21.50,23.73,796200,23.73
2011-08-15,26.62,26.75,22.00,22.30,870300,22.30
2011-08-08,23.10,27.14,23.10,26.31,1470300,26.31
2011-08-01,28.67,29.20,22.83,24.24,1907500,24.24
2011-07-25,29.01,29.25,27.50,28.17,855800,28.17
2011-07-18,27.34,30.44,26.63,29.29,1304200,29.29
2011-07-11,28.40,29.09,27.25,27.58,991000,27.58
2011-07-05,29.02,30.00,28.55,28.81,1122800,28.81
2011-06-27,27.73,29.60,27.31,29.02,1192400,29.02
2011-06-20,26.29,28.25,25.50,27.57,1857500,27.57
2011-06-13,28.07,29.70,25.74,26.50,1637600,26.50
2011-06-06,30.10,30.13,27.02,27.86,1683700,27.86
2011-05-31,29.69,31.50,28.38,30.13,3003900,30.13
2011-05-23,27.62,29.76,26.17,29.55,2238800,29.55
2011-05-16,27.99,28.44,25.52,27.97,1243400,27.97
2011-05-09,27.00,28.95,26.65,27.55,940700,27.55
