Date,Open,High,Low,Close,Volume,Adj Close
2014-02-10,7.54,7.74,7.54,7.73,9180600,7.73
2014-02-07,7.50,7.54,7.35,7.54,5586500,7.54
2014-02-06,7.53,7.53,7.53,7.53,000,7.53
2014-02-05,7.53,7.53,7.53,7.53,000,7.53
2014-02-03,7.53,7.53,7.53,7.53,000,7.53
2014-01-31,7.53,7.53,7.53,7.53,000,7.53
2014-01-30,7.60,7.63,7.47,7.53,3979300,7.53
2014-01-29,7.56,7.62,7.55,7.60,4684900,7.60
2014-01-28,7.45,7.56,7.45,7.55,4280200,7.55
2014-01-27,7.52,7.53,7.32,7.50,7513500,7.50
2014-01-24,7.38,7.58,7.34,7.56,7522000,7.56
2014-01-23,7.38,7.45,7.31,7.39,5838700,7.39
2014-01-22,7.25,7.40,7.21,7.39,8375100,7.39
2014-01-21,7.18,7.27,7.16,7.24,5880700,7.24
2014-01-20,7.11,7.16,7.05,7.15,5873200,7.15
2014-01-17,7.09,7.13,7.04,7.09,7208900,7.09
2014-01-16,7.07,7.18,7.02,7.12,5062200,7.12
2014-01-15,7.09,7.12,6.98,7.06,5137600,7.06
2014-01-14,6.91,7.12,6.90,7.09,6110600,7.09
2014-01-13,6.96,7.02,6.75,6.90,7798400,6.90
2014-01-10,7.10,7.14,6.92,6.95,7215200,6.95
2014-01-09,7.18,7.22,7.09,7.09,5897800,7.09
2014-01-08,7.37,7.37,7.14,7.18,10563500,7.18
2014-01-07,7.30,7.48,7.23,7.35,3454000,7.35
2014-01-06,7.72,7.73,7.35,7.36,7416400,7.36
2014-01-03,7.75,7.88,7.71,7.72,4502400,7.72
2014-01-02,7.77,7.91,7.71,7.81,5367900,7.81
2014-01-01,7.76,7.76,7.76,7.76,000,7.76
2013-12-31,7.65,7.78,7.64,7.76,3847300,7.76
2013-12-30,7.84,7.87,7.66,7.70,7196200,7.70
2013-12-27,7.70,7.85,7.69,7.81,3957800,7.81
2013-12-26,7.81,7.82,7.65,7.73,5562400,7.73
2013-12-25,7.73,7.84,7.68,7.81,3793200,7.81
2013-12-24,7.71,7.81,7.57,7.68,3929900,7.68
2013-12-23,7.88,7.88,7.48,7.71,8057700,7.71
2013-12-20,8.09,8.15,7.77,7.86,7435200,7.86
2013-12-19,8.20,8.24,8.05,8.09,4464200,8.09
2013-12-18,8.22,8.29,8.11,8.16,4238700,8.16
2013-12-17,8.24,8.29,8.18,8.22,4529700,8.22
2013-12-16,8.45,8.51,8.19,8.23,12091300,8.23
2013-12-13,8.53,8.64,8.50,8.51,6514900,8.51
2013-12-12,8.51,8.69,8.51,8.58,8602300,8.58
2013-12-11,8.75,8.78,8.53,8.59,9683200,8.59
2013-12-10,8.64,8.94,8.59,8.74,17371300,8.74
2013-12-09,8.46,8.69,8.46,8.63,10964300,8.63
2013-12-06,8.60,8.65,8.36,8.39,15469100,8.39
2013-12-05,8.70,8.78,8.53,8.67,12998200,8.67
2013-12-04,8.35,8.76,8.31,8.68,22517500,8.68
2013-12-03,8.31,8.38,8.23,8.35,11891600,8.35
2013-12-02,8.61,8.70,8.27,8.35,10678200,8.35
2013-11-29,8.71,8.83,8.63,8.70,7122200,8.70
2013-11-28,8.82,8.84,8.72,8.75,7632300,8.75
2013-11-27,8.66,8.83,8.60,8.74,11228800,8.74
2013-11-26,8.51,8.59,8.45,8.56,4784400,8.56
2013-11-25,8.42,8.63,8.33,8.51,7298000,8.51
2013-11-22,8.65,8.71,8.44,8.47,7241300,8.47
2013-11-21,8.60,8.73,8.50,8.64,7294600,8.64
2013-11-20,8.71,8.75,8.58,8.67,5856600,8.67
2013-11-19,8.76,8.76,8.63,8.67,6981900,8.67
2013-11-18,8.59,8.73,8.45,8.68,11171700,8.68
2013-11-15,8.14,8.65,8.08,8.43,15597300,8.43
2013-11-14,8.00,8.18,7.98,8.09,6032600,8.09
2013-11-13,8.30,8.30,7.98,7.98,8468700,7.98
2013-11-12,8.34,8.39,8.27,8.32,5295200,8.32
2013-11-11,8.41,8.50,8.27,8.31,4584700,8.31
2013-11-08,8.52,8.61,8.36,8.46,6401900,8.46
2013-11-07,8.64,8.71,8.54,8.56,6841900,8.56
2013-11-06,8.66,8.86,8.62,8.67,8246700,8.67
2013-11-05,8.52,8.75,8.33,8.70,8646700,8.70
2013-11-04,8.62,8.72,8.53,8.55,5538900,8.55
2013-11-01,8.72,8.74,8.49,8.62,6897700,8.62
2013-10-31,8.66,8.78,8.54,8.64,8737500,8.64
2013-10-30,8.58,8.74,8.38,8.73,9559400,8.73
2013-10-29,8.68,8.85,8.20,8.55,14314900,8.55
2013-10-28,8.62,8.76,8.55,8.71,7734700,8.71
2013-10-25,8.89,8.95,8.51,8.59,13538000,8.59
2013-10-24,8.96,9.08,8.71,8.81,14366700,8.81
2013-10-23,9.38,9.48,8.91,8.96,20389200,8.96
2013-10-22,9.69,9.69,9.23,9.30,23586100,9.30
2013-10-21,9.38,9.75,9.38,9.68,19513600,9.68
2013-10-18,9.29,9.48,9.28,9.37,12890900,9.37
2013-10-17,9.60,9.66,9.26,9.30,22007600,9.30
